Info: [VCS_SAVE_RESTORE_INFO] ASLR (Address Space Layout Randomization) is detected on the machine. To enable $save functionality, ASLR will be switched off and simv re-executed.
Please use '-no_save' simv switch to avoid re-execution or '-suppress=ASLR_DETECTED_INFO' to suppress this message.
Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09-SP2-5_Full64; Runtime version W-2024.09-SP2-5_Full64;  May  4 12:16 2026
t=0 pxl_in=0 | pxl_out=x valid=0
t=3410000 pxl_in=140 | pxl_out=1063 valid=1
t=3411000 pxl_in=139 | pxl_out=1063 valid=1
t=3430000 pxl_in=139 | pxl_out=1060 valid=1
t=3431000 pxl_in=137 | pxl_out=1060 valid=1
t=3450000 pxl_in=137 | pxl_out=1074 valid=1
t=3451000 pxl_in=134 | pxl_out=1074 valid=1
t=3470000 pxl_in=134 | pxl_out=1099 valid=1
t=3471000 pxl_in=132 | pxl_out=1099 valid=1
t=3490000 pxl_in=132 | pxl_out=1106 valid=1
t=3491000 pxl_in=131 | pxl_out=1106 valid=1
t=3510000 pxl_in=131 | pxl_out=1101 valid=1
t=3511000 pxl_in=129 | pxl_out=1101 valid=1
t=3530000 pxl_in=129 | pxl_out=1098 valid=1
t=3531000 pxl_in=127 | pxl_out=1098 valid=1
t=3550000 pxl_in=127 | pxl_out=1092 valid=1
t=3551000 pxl_in=125 | pxl_out=1092 valid=1
t=3570000 pxl_in=125 | pxl_out=1084 valid=1
t=3590000 pxl_in=125 | pxl_out=1076 valid=1
t=3591000 pxl_in=126 | pxl_out=1076 valid=1
t=3610000 pxl_in=126 | pxl_out=1069 valid=1
t=3611000 pxl_in=127 | pxl_out=1069 valid=1
t=3630000 pxl_in=127 | pxl_out=1065 valid=1
t=3631000 pxl_in=129 | pxl_out=1065 valid=1
t=3650000 pxl_in=129 | pxl_out=1064 valid=1
t=3670000 pxl_in=129 | pxl_out=1061 valid=1
t=3671000 pxl_in=128 | pxl_out=1061 valid=1
t=3690000 pxl_in=128 | pxl_out=1052 valid=1
t=3691000 pxl_in=127 | pxl_out=1052 valid=1
t=3710000 pxl_in=127 | pxl_out=1041 valid=1
t=3730000 pxl_in=127 | pxl_out=1032 valid=1
t=3731000 pxl_in=130 | pxl_out=1032 valid=1
t=3750000 pxl_in=130 | pxl_out=1027 valid=1
t=3751000 pxl_in=132 | pxl_out=1027 valid=1
t=3771000 pxl_in=130 | pxl_out=1027 valid=1
t=3790000 pxl_in=130 | pxl_out=1026 valid=1
t=3791000 pxl_in=128 | pxl_out=1026 valid=1
t=3810000 pxl_in=128 | pxl_out=1021 valid=1
t=3811000 pxl_in=126 | pxl_out=1021 valid=1
t=3830000 pxl_in=126 | pxl_out=1016 valid=1
t=3831000 pxl_in=129 | pxl_out=1016 valid=1
t=3850000 pxl_in=129 | pxl_out=1018 valid=1
t=3851000 pxl_in=125 | pxl_out=1018 valid=1
t=3870000 pxl_in=125 | pxl_out=1023 valid=0
t=3871000 pxl_in=146 | pxl_out=1023 valid=0
t=3890000 pxl_in=146 | pxl_out=1040 valid=0
t=3891000 pxl_in=148 | pxl_out=1040 valid=0
t=3910000 pxl_in=148 | pxl_out=1077 valid=1
t=3911000 pxl_in=147 | pxl_out=1077 valid=1
t=3930000 pxl_in=147 | pxl_out=1098 valid=1
t=3950000 pxl_in=147 | pxl_out=1100 valid=1
t=3970000 pxl_in=147 | pxl_out=1107 valid=1
t=3990000 pxl_in=147 | pxl_out=1112 valid=1
t=4010000 pxl_in=147 | pxl_out=1108 valid=1
t=4011000 pxl_in=145 | pxl_out=1108 valid=1
t=4030000 pxl_in=145 | pxl_out=1098 valid=1
t=4031000 pxl_in=143 | pxl_out=1098 valid=1
t=4050000 pxl_in=143 | pxl_out=1089 valid=1
t=4051000 pxl_in=140 | pxl_out=1089 valid=1
t=4070000 pxl_in=140 | pxl_out=1080 valid=1
t=4071000 pxl_in=139 | pxl_out=1080 valid=1
t=4090000 pxl_in=139 | pxl_out=1087 valid=1
t=4091000 pxl_in=136 | pxl_out=1087 valid=1
t=4110000 pxl_in=136 | pxl_out=1119 valid=1
t=4111000 pxl_in=134 | pxl_out=1119 valid=1
t=4130000 pxl_in=134 | pxl_out=1134 valid=1
t=4131000 pxl_in=133 | pxl_out=1134 valid=1
t=4150000 pxl_in=133 | pxl_out=1126 valid=1
t=4151000 pxl_in=131 | pxl_out=1126 valid=1
t=4170000 pxl_in=131 | pxl_out=1119 valid=1
t=4171000 pxl_in=129 | pxl_out=1119 valid=1
t=4190000 pxl_in=129 | pxl_out=1112 valid=1
t=4191000 pxl_in=127 | pxl_out=1112 valid=1
t=4210000 pxl_in=127 | pxl_out=1104 valid=1
t=4211000 pxl_in=126 | pxl_out=1104 valid=1
t=4230000 pxl_in=126 | pxl_out=1095 valid=1
t=4231000 pxl_in=125 | pxl_out=1095 valid=1
t=4250000 pxl_in=125 | pxl_out=1084 valid=1
t=4251000 pxl_in=126 | pxl_out=1084 valid=1
t=4270000 pxl_in=126 | pxl_out=1073 valid=1
t=4271000 pxl_in=129 | pxl_out=1073 valid=1
t=4290000 pxl_in=129 | pxl_out=1068 valid=1
t=4291000 pxl_in=131 | pxl_out=1068 valid=1
t=4310000 pxl_in=131 | pxl_out=1069 valid=1
t=4330000 pxl_in=131 | pxl_out=1067 valid=1
t=4350000 pxl_in=131 | pxl_out=1061 valid=1
t=4351000 pxl_in=128 | pxl_out=1061 valid=1
t=4370000 pxl_in=128 | pxl_out=1052 valid=1
t=4371000 pxl_in=129 | pxl_out=1052 valid=1
t=4390000 pxl_in=129 | pxl_out=1040 valid=1
t=4391000 pxl_in=132 | pxl_out=1040 valid=1
t=4410000 pxl_in=132 | pxl_out=1034 valid=1
t=4411000 pxl_in=134 | pxl_out=1034 valid=1
t=4430000 pxl_in=134 | pxl_out=1036 valid=1
t=4431000 pxl_in=132 | pxl_out=1036 valid=1
t=4451000 pxl_in=131 | pxl_out=1036 valid=1
t=4470000 pxl_in=131 | pxl_out=1031 valid=1
t=4471000 pxl_in=126 | pxl_out=1031 valid=1
t=4490000 pxl_in=126 | pxl_out=1026 valid=1
t=4491000 pxl_in=107 | pxl_out=1026 valid=1
t=4510000 pxl_in=107 | pxl_out=1005 valid=0
t=4511000 pxl_in=150 | pxl_out=1005 valid=0
t=4530000 pxl_in=150 | pxl_out=1012 valid=0
t=4531000 pxl_in=152 | pxl_out=1012 valid=0
t=4550000 pxl_in=152 | pxl_out=1083 valid=1
t=4551000 pxl_in=151 | pxl_out=1083 valid=1
t=4570000 pxl_in=151 | pxl_out=1126 valid=1
t=4571000 pxl_in=150 | pxl_out=1126 valid=1
t=4590000 pxl_in=150 | pxl_out=1120 valid=1
t=4610000 pxl_in=150 | pxl_out=1119 valid=1
t=4630000 pxl_in=150 | pxl_out=1127 valid=1
t=4631000 pxl_in=149 | pxl_out=1127 valid=1
t=4650000 pxl_in=149 | pxl_out=1131 valid=1
t=4651000 pxl_in=147 | pxl_out=1131 valid=1
t=4670000 pxl_in=147 | pxl_out=1124 valid=1
t=4671000 pxl_in=145 | pxl_out=1124 valid=1
t=4690000 pxl_in=145 | pxl_out=1108 valid=1
t=4691000 pxl_in=142 | pxl_out=1108 valid=1
t=4710000 pxl_in=142 | pxl_out=1069 valid=1
t=4711000 pxl_in=140 | pxl_out=1069 valid=1
t=4730000 pxl_in=140 | pxl_out=1059 valid=1
t=4731000 pxl_in=138 | pxl_out=1059 valid=1
t=4750000 pxl_in=138 | pxl_out=1119 valid=1
t=4751000 pxl_in=136 | pxl_out=1119 valid=1
t=4770000 pxl_in=136 | pxl_out=1157 valid=1
t=4771000 pxl_in=135 | pxl_out=1157 valid=1
t=4790000 pxl_in=135 | pxl_out=1149 valid=1
t=4791000 pxl_in=134 | pxl_out=1149 valid=1
t=4810000 pxl_in=134 | pxl_out=1141 valid=1
t=4811000 pxl_in=132 | pxl_out=1141 valid=1
t=4830000 pxl_in=132 | pxl_out=1135 valid=1
t=4831000 pxl_in=130 | pxl_out=1135 valid=1
t=4850000 pxl_in=130 | pxl_out=1127 valid=1
t=4851000 pxl_in=127 | pxl_out=1127 valid=1
t=4870000 pxl_in=127 | pxl_out=1114 valid=1
t=4871000 pxl_in=126 | pxl_out=1114 valid=1
t=4890000 pxl_in=126 | pxl_out=1098 valid=1
t=4891000 pxl_in=125 | pxl_out=1098 valid=1
t=4910000 pxl_in=125 | pxl_out=1083 valid=1
t=4911000 pxl_in=127 | pxl_out=1083 valid=1
t=4930000 pxl_in=127 | pxl_out=1072 valid=1
t=4931000 pxl_in=130 | pxl_out=1072 valid=1
t=4950000 pxl_in=130 | pxl_out=1069 valid=1
t=4951000 pxl_in=132 | pxl_out=1069 valid=1
t=4970000 pxl_in=132 | pxl_out=1071 valid=1
